indicator,mean_abs_shap,rank,contribution_pct,cumulative_pct
fmax_mhz,0.6667727468569237,1,17.456674034522603,17.456674034522603
setup_time_ns,0.40329490874095625,2,10.558601554817445,28.01527558934005
vol_voltage,0.34872858757434644,3,9.130009150045725,37.14528473938577
warpage_um,0.34168515303746416,4,8.945606081123898,46.09089082050967
vil_voltage,0.2847993058964792,5,7.45628652599976,53.54717734650943
iol_leakage_ua,0.26853611922071485,6,7.030502554024778,60.57767990053421
aging_frequency_mhz,0.2649085604097413,7,6.935529998528573,67.51320989906279
propagation_delay_ns,0.24908992980686376,8,6.521384880257548,74.03459477932033
idd_dynamic_ma,0.22035423616597694,9,5.769060134818448,79.80365491413878
package_scratch_depth_um,0.17283114136591318,10,4.524865348893216,84.32852026303199
vih_voltage,0.14908740582296784,11,3.9032342854027844,88.23175454843478
pin_flatness_deviation_um,0.13358462021159673,12,3.497358255945234,91.72911280438001
idd_static_ma,0.1075756032565126,13,2.816420210586428,94.54553301496644
package_size_deviation_percent,0.06925568263016041,14,1.81317230257535,96.35870531754179
voh_voltage,0.04192986705166024,15,1.0977593563654837,97.45646467390728
pin_coplanarity_percent,0.03775198230109394,16,0.9883788026637462,98.44484347657102
boundary_scan_pass,0.016681516327616042,17,0.436736195811024,98.88157967238205
hold_time_ns,0.011666048196089894,18,0.3054270013136441,99.18700667369569
vdd_voltage,0.007805728375645848,19,0.20436056587194668,99.39136723956764
iil_leakage_ua,0.007749160446139735,20,0.202879569669191,99.59424680923684
fall_time_ns,0.004215115431325209,21,0.11035528438944962,99.70460209362629
solder_pad_oxidation_percent,0.003938947624898987,22,0.10312497781447771,99.80772707144077
aging_voltage_v,0.002224275432773611,23,0.05823341067246326,99.86596048211322
rise_time_ns,0.0021047354698952186,24,0.055103753415318625,99.92106423552855
aging_duration_hours,0.001819441361638442,25,0.04763451254534494,99.96869874807389
aging_temperature_c,0.001195578360778226,26,0.03130125192611212,100.0
jtag_scan_pass,0.0,27,0.0,100.0
functional_test_pass,0.0,28,0.0,100.0
